Language Code	Glottocode	Display Name	Endonym	Medium	Biggest Script	Ethnologue Vitality 2013	Ethnologue Vitality 2025	Eth Digital Support	Adjusted Populaiton	Population	Parent Language	Parent Glottocode	Recommendation	Recommendation Reason
hlt	ngal1291	Matu Chin			Latn	Developing	2 Stable	Ascending	0	40,000		choi1241	Yes	
mtd	mual1241	Mualang			Latn	Developing	2 Stable	Emerging	0	40,000		iban1269	Yes	
nkw	nkut1238	Nkutu			Latn	Vigorous	2 Stable	Still	0	40,000		song1311	Yes	
nhu	noon1243	Noone			Latn	Developing	2 Stable	Ascending	0	40,000		noon1245	Yes	
bfc	nort2724	Northern Bai			Latn	Vigorous	3 Endangered	Still	0	40,000		baic1239	Yes	
kwg	sara1322	Sara Kaba Deme			Latn	Developing	2 Stable	Emerging	0	40,000		sara1348	Yes	
sif	siam1242	Siamou			Latn	Vigorous	2 Stable	Still	0	40,000			Yes	
tco	taun1248	Taungyo			Mymr	Vigorous	2 Stable	Still	0	40,000		mran1234	Yes	
nza	tigo1236	Tigon Mbembe			Latn	Developing	2 Stable	Ascending	0	40,000		juku1258	Yes	
tic	tira1254	Tira			Latn	Educational	2 Stable	Still	0	40,000		west2503	Yes	
tob	toba1269	Toba	Qom		Latn	Threatened	3 Endangered	Ascending	0	40,000		pila1244	Yes	
krt	tuma1248	Tumari Kanuri			Latn	Vigorous	2 Stable	Emerging	0	40,000	kau	east2718	Possibly	But probably want to use macrolanguage
tvu	tune1261	Tunen			Latn	Developing	2 Stable	Ascending	0	40,000		mand1474	Yes	
uuu	uuuu1243	U				Shifting	3 Endangered	Still	0	40,000		angk1246	Yes	
yre	yaou1238	Yaouré			Latn		2 Stable	Ascending	0	40,000		guro1247	Yes	
czt	zotu1235	Zotung Chin			Latn	Developing	2 Stable	Ascending	0	40,000		mara1381	Yes	
mfy	mayo1264	Mayo	Caíta		Latn	Developing	3 Endangered	Ascending	0	39,800		cahi1243	Yes	
tkd	tuku1254	Tukudede			Latn	Vigorous	2 Stable	Emerging	0	39,500		west2547	Yes	
swj	sira1266	Sira			Latn	Vigorous	2 Stable	Emerging	0	39,400		sira1270	Yes	
bmw	bomw1238	Bomwali			Latn	Vigorous	2 Stable	Emerging	0	39,300		maka1323	Yes	
